Policy,Iteration,Total Requests,Cache Hit Ratio,Latency,Hop Reduction
RandomForest,71,568,57.74647887323944,4.692816398513149e-07,-1.4788732394366197
RandomForest,72,576,56.94444444444444,4.6400560273064503e-07,-1.5069444444444442
RandomForest,73,584,57.534246575342465,4.670391344044306e-07,-1.4863013698630136
RandomForest,74,592,58.108108108108105,4.6797700830408047e-07,-1.4662162162162162
RandomForest,75,600,57.333333333333336,4.661083221435546e-07,-1.4933333333333334
RandomForest,76,608,56.57894736842105,4.627202686510588e-07,-1.519736842105263
RandomForest,77,616,57.14285714285714,4.6329064802689984e-07,-1.4999999999999998
RandomForest,78,624,57.692307692307686,4.657568075718024e-07,-1.4807692307692306
RandomForest,79,632,56.9620253164557,4.613701301284983e-07,-1.5063291139240507
RandomForest,80,640,57.49999999999999,4.6342611312866213e-07,-1.4875000000000003
RandomForest,81,648,58.0246913580247,4.66167190928518e-07,-1.4691358024691359
RandomForest,82,656,58.536585365853654,4.677510843044374e-07,-1.451219512195122
RandomForest,83,664,57.831325301204814,4.6462897794792446e-07,-1.4759036144578312
RandomForest,84,672,58.333333333333336,4.6619347163609094e-07,-1.4583333333333333
RandomForest,85,680,58.82352941176471,4.6737053815056294e-07,-1.4411764705882353
