iteration,seed,num_publishers,num_users,arrival_window_used,chunking_mode,auth_mode,lmm,avg_hops,avg_delay,avg_success_rate
3,1202,6,4,20.0,with_chunking,with_auth,LMM-2,9.75,7.5437500000000055,0.727853298488963
3,1202,6,6,20.0,with_chunking,with_auth,LMM-1,9.75,9.812500000000004,0.6732976813527348
3,1202,6,6,20.0,with_chunking,with_auth,LMM-2,9.75,6.695138888888891,0.720335774968053
3,1202,6,8,20.0,with_chunking,with_auth,LMM-1,9.75,9.812500000000004,0.6430027371283447
3,1202,6,8,20.0,with_chunking,with_auth,LMM-2,9.75,6.079687500000006,0.7199208879269181
3,1202,8,2,20.0,with_chunking,with_auth,LMM-1,9.041666666666666,9.139583333333338,0.7277027050518117
3,1202,8,2,20.0,with_chunking,with_auth,LMM-2,8.666666666666666,8.783333333333339,0.7443762807018326
3,1202,8,4,20.0,with_chunking,with_auth,LMM-1,9.125,9.218750000000004,0.6978838654331045
3,1202,8,4,20.0,with_chunking,with_auth,LMM-2,8.833333333333334,5.616666666666672,0.709070948313606
3,1202,8,6,20.0,with_chunking,with_auth,LMM-1,9.291666666666668,9.377083333333339,0.6278020909909496
3,1202,8,6,20.0,with_chunking,with_auth,LMM-2,8.930555555555555,6.823379629629633,0.6837231351766251
3,1202,8,8,20.0,with_chunking,with_auth,LMM-1,9.291666666666666,9.377083333333339,0.5931832792801572
3,1202,8,8,20.0,with_chunking,with_auth,LMM-2,8.864583333333332,5.727604166666669,0.686105929531297
3,1202,10,2,20.0,with_chunking,with_auth,LMM-1,7.270833333333333,7.45729166666667,0.7274595164330816
3,1202,10,2,20.0,with_chunking,with_auth,LMM-2,6.791666666666666,7.002083333333337,0.7706040974127928
3,1202,10,4,20.0,with_chunking,with_auth,LMM-1,7.458333333333334,7.6354166666666705,0.6775080728035396
3,1202,10,4,20.0,with_chunking,with_auth,LMM-2,6.8125,6.006250000000004,0.7227676083728405
3,1202,10,6,20.0,with_chunking,with_auth,LMM-1,7.604166666666666,7.773958333333336,0.6272496840927444
3,1202,10,6,20.0,with_chunking,with_auth,LMM-2,7.125,5.194444444444446,0.7247754525302224
3,1202,10,8,20.0,with_chunking,with_auth,LMM-1,7.375,7.556250000000004,0.5986242562281836
3,1202,10,8,20.0,with_chunking,with_auth,LMM-2,7.041666666666666,4.3989583333333355,0.7369178508411202
